Species,Epoch,Age,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12,Comp13,Comp14,Comp15,Comp16,Comp17,Comp18,Comp19,Comp20,Comp21,Comp22,Comp23,Comp24,Comp25,Comp26,Comp27,Comp28,Comp29,Comp30,Comp31,Comp32,Comp33,Comp34,Comp35,Comp36,Comp37,Comp38,Comp39,Comp40,Comp41,Comp42,Comp43,Comp44,Comp45,Comp46,Comp47,Comp48,Comp49,Comp50,Comp51,Comp52,Comp53,Comp54,Comp55,Comp56,Comp57,Comp58,Comp59,Comp60,Comp61,Comp62,Comp63,Comp64,Comp65,Comp66,Comp67,Comp68,Comp69,Comp70,Comp71,Comp72,Comp73,Comp74,Comp75,Comp76,Comp77,Comp78,Comp79,Comp80,Comp81,Comp82,Comp83
Acrolepis gigas,Pennsylvanian,Gzhelian,-0.0126454523877347,-0.0893527619192164,0.0638895509284599,-0.0954512862037424,0.019526075788995,-0.0214924985735973,0.0705251668414377,-0.0583382496725383,0.00315682690540228,-0.0185934746206042,0.0159817140586803,-0.00795357420878652,0.00238131231064049,-0.0270475795370543,0.00677633156213467,-0.0261440942243691,0.0189003329782443,0.00855396711338042,-0.0172383630075635,0.00126405620017067,-0.00122927155528592,0.00469548392187123,-0.000534284935069334,0.00780480121001796,-0.000440611755536348,0.00691339318187617,-0.0104273961170711,0.012667588280749,-0.00732799157057949,0.000529682738552812,-0.00242580745286085,0.00113071632723981,0.00194327691570115,-0.0101597334485261,-0.00358947373409926,0.000826061073368169,0.00275771541756436,-0.00595875813763794,0.00188161348117473,0.00121316318304296,0.00176764222809611,0.00342078679004649,-0.00913534230552541,-0.000747561043758402,-0.00570680896379469,0.00318247489501672,0.00357715767673756,0.0050538005917694,-0.00403103550509838,-0.000821810719159343,-0.00504771950678437,0.0013333820318484,0.000713411130256852,0.00125177622769212,0.00178868156566207,0.00260606992559797,0.0015818065512377,-0.00231186857149972,-0.00149361658332416,-0.00170041230305427,-0.00231357289401833,-0.000538804618016148,-0.000988058257299775,-0.00294141230371529,-0.00250990381482914,0.000995935225519038,0.00257498806507428,0.00117329641298425,0.000276302316268727,0.000835733954590619,0.000482227145714976,0.000642376540312443,0.000511774144904776,0.000102952439693859,7.01157368839528e-06,0.000237695246030563,-0.000944075894266119,-0.00100386684877691,-0.000106986254158772,-0.0002379552482825,-0.000134801805411922,-0.000288175630370005,-0.000327632423334726
Adroichthys tuberculatus,Mississippian,Viséan,0.1718314821676,0.158346852074862,0.045340905437101,-0.012910704293164,0.01506518826433,0.0104668700362656,0.0260453595380099,0.00941914974193691,0.00394455347944203,0.0255137247494897,0.0201912899289087,-0.0131800697292826,-0.0312785109344598,0.036646144325049,-0.00419126526475228,-0.0293824606698019,-0.01512604133164,0.0276228969298458,0.0284725410503153,0.00103043070938034,-0.00321670822014529,0.0106685283446442,0.0137498357830607,0.0121998525169195,-0.00612884616666,0.00189359025539522,0.0113006778256773,0.0106553171819122,-0.0165748329801774,-0.0193750726621123,0.00647968608165919,0.00855641934058277,0.00138828433078515,-0.00180297003743108,0.00227581682084,0.00302444651163828,0.00586371361777511,0.0031648950611921,-0.000199278742345196,-0.00311354832386022,0.00432975742148948,0.00590376570092875,0.010362997841629,0.00483215531626247,-0.00114878082945724,-0.000953657827865129,0.00147669651042979,0.000388875627683298,0.0014533384898935,0.00107347518898966,-0.000595495994887641,0.00133960124537733,0.00291824498889372,-0.0016634612070541,-0.00176281641455656,-0.000802910718191331,0.000236814110140205,-0.00367414516775894,-0.00245720709214538,0.000232165089439916,-9.61613400815042e-06,-0.000641942064685298,0.00104717714994394,0.000698939774125156,-0.00076960417898708,0.000343287593165862,-0.000839989968611254,-0.000463940756401429,6.4585931351501e-05,0.000320785396775044,0.000466473611976278,-0.000458588213715981,0.000116424479736791,0.000348929562155265,-0.00078874632083969,-0.000118863355921058,-0.000695371575597886,0.000296029982736727,-0.000402239114443104,0.000158923246103423,-0.000455022128011116,0.000236015505324931,1.71761303564413e-05
Aeduella blainvillei,Pennsylvanian,Kasimovian,-0.00623804526427952,-0.121627593269203,-0.0108318375102381,-0.0141821047343018,-0.00389003249470031,0.080704981655339,0.000576262037285174,-0.0207484415506547,-0.0288021288141979,0.019064344520134,0.0288780498869226,0.00286980169531418,-0.00869965450354216,0.0233658457712248,-0.00362675858226072,0.00629297837990417,-0.000436545884769321,-0.00423556852730889,-0.0140102276720003,-0.00975251478241675,-0.000632064562885384,0.00112026937189532,0.0119967413391278,-0.00974876971372096,0.0116668255070496,0.00252554142271161,-0.00215696951036242,-0.00969150332977755,0.00237118167776428,0.00393244640392716,0.0116432097881686,0.00421653176446285,-0.00520318477554965,-0.000641574441323496,-0.00209185687612098,-4.00274232344426e-06,0.005085781799401,-0.0031522844589783,0.00800202385445014,-0.00141991700139135,0.000939103736362178,0.000911937596396423,0.00511343948230362,-0.0102116309456276,-0.00362195315079691,0.00305235432867976,-0.00294785516444627,0.00118990551059131,0.000749786391655914,0.00523568113918173,-0.000907085525597675,0.00148771743488561,0.00308550315612358,-0.00172590281640525,0.00103067061159377,-0.00303067385280528,0.000506523416693749,-0.000936052567778859,0.00022223112557341,0.00194694311954267,-0.000684310519902376,0.00150122853980121,-0.00355748745961958,-0.000186846040881704,-0.00134513637511494,-0.00123454181203219,-3.8638659651833e-05,-0.000718372034217804,-0.000884870893904621,0.000142022699384293,0.00109015893644908,0.00164207831969188,0.00120408567345651,0.00127006871419931,-0.00065705229987234,0.00015080073259465,0.000208322706995715,0.00154817990658026,0.00117960922520386,-0.00101985266365285,0.001120676442263,0.000718576255911829,-0.00036970504407072
Aesopichthys erinaceus,Mississippian,Serpukhovian,0.147953240003254,-0.0576730199053902,0.0112155819156331,-0.0611949237555473,0.0558951580629853,-0.00147926273052002,-0.100697206342078,-0.034626278601486,-0.0144180720324268,0.00895825546167169,0.0494695748941927,0.0141738406750593,-0.0260701287063947,-0.0049132936598128,0.0256979290842663,-0.00891776750450444,-0.0142449290345133,-0.0286544721885007,0.000507503942398591,0.013233477765277,-0.0128136390997466,0.0267422562459553,-0.00857869398517696,-0.0193711555978286,-0.0153805052231224,0.0131114122776756,-0.010059515423666,-0.00161963114443852,-0.00422671970530174,1.34290492422379e-05,0.00318851325407652,0.0064094912139812,0.00475015533581129,-0.00750575302923747,0.00866525373024447,-0.00428809180009999,0.0091538726264705,-0.00363131282375501,0.00284410191483922,-0.00608531222533076,-0.00941456495720048,-0.00621791288725312,0.00193263343608551,0.00135403967536623,-0.00487751403441543,-0.00361260257007127,0.00101041221060252,-0.00200775388754803,0.000109241333510897,-0.00407501630207624,0.00302538133470439,0.00119587864116707,-0.00277796945386677,-0.0012324512476285,0.000797329697029154,6.60340292196647e-05,-0.000978706280402535,0.00230384631060245,-0.000957959171972127,-0.000595894285137283,-0.00079143281572005,0.000318858830548745,0.000922506672351286,0.00105956922607875,0.0001079078366157,0.00100477704418137,1.23831216458512e-06,-0.000964349305731368,-0.000308417008180766,0.000127946494261122,-0.00041648539413841,0.000268297784739684,0.00040290995510954,-0.000598077283132074,0.000325271301466764,-0.000379354585378054,0.000133846986805558,-7.23760229266753e-05,-0.000275683025555481,-1.09536501585634e-05,-0.000151883870450713,-3.39438527099205e-05,2.14445276176378e-05
Aetheretmon valentiacum,Mississippian,Tournaisian,-0.00989044758513125,0.000491062447688763,-0.0341049732112002,0.000778217000206771,0.0279630255574779,-0.0386458837099875,0.00149790726081291,-0.0111649088729062,0.0212840697341442,0.0104506498646877,-0.0199598683398718,0.00403405258202223,-0.0175646141191813,-0.00743050709364377,0.00643453293851208,-0.0157735845891267,-0.00175379070929242,0.0196620502737108,0.000181946687628534,-0.00665257299588648,-0.0150029856185831,-0.0175787958981511,0.00324380235848027,0.00769955250975419,-0.0199763991002084,-0.00651400310821922,0.00497382751540439,0.00215801847384944,-0.0178346485936436,0.0130978757002662,0.00427802956570582,-8.08270643807133e-05,-0.000575863952784754,0.00241670661065861,-0.00368265848144337,0.000326609389416197,-0.00872930275422333,0.00259825664403697,0.00466583214068881,-0.00432870677672662,-0.00667772496685434,0.000924967281773665,-0.000828256416872021,-0.0012569393688002,0.000556096589415305,0.00301982008126592,0.0032652940461897,0.0020186215951243,-0.0027991726678185,0.0010652699652463,0.00395434071201725,-0.00170675238685521,0.00143184824210494,0.00014279650379999,0.00269341526020076,-0.000520115577602627,0.00417396975420448,0.0049744719668756,-0.000486785958477867,0.000712733141625724,0.00226179034649181,-0.000197087725504738,-0.000448646183855847,0.000606474465549613,-0.000444520903990882,0.000610677148253539,-0.00125843643714712,0.00100911287785013,-0.00224424064971569,0.00105110890308045,-0.00321070053273568,-0.000610754044052786,0.00112265844763259,0.00016707830282754,-0.000502443353084043,0.000580154382686097,-0.000326916902929412,0.000504627084762433,0.000924981536344082,-0.00111783536725147,-2.39033168793637e-05,-4.38792430050044e-05,0.000525123868273077
Amphicentrum granulosum,Pennsylvanian,Moscovian,0.375124605245055,0.0465112434490916,0.109792439152706,0.0963296306022025,-0.032050280377537,0.00239226839462959,0.0447646587939916,-0.0312614518278437,-0.0174238867214258,0.0348526830533893,0.00979556442118797,-0.127901801440971,-0.00401555996035493,-0.000258926539654296,0.0065738893700226,-0.00396885088563754,0.043509438863844,-0.0107651718582849,0.00880870111392235,-0.00811126699082331,-0.0139975906680832,-0.00288021420611652,-0.000566619379563544,-0.0130818550138402,-0.0122412412943516,0.00767477975773713,-0.00940305187152568,-0.00363880904703104,0.00688846905871564,0.0134701838455294,0.00230031308500541,-0.00546219092312912,-0.00341463155929573,-0.000533686253871771,-0.00251746278412112,-0.00758699519156074,-0.00198638650444914,0.00400246274404808,-0.00459697849161107,0.00111358159871478,-8.75907010232157e-05,0.00387136149569638,0.00469446181777714,-0.00138464807909375,0.000745298762866205,-9.29408267587742e-05,0.00192999930579275,-0.000937657365712236,-0.000802835581088801,7.2961709698021e-05,-0.000663600544876682,0.000191533086106573,6.37533999440107e-06,0.00047490731294102,-0.000438669495074085,0.000528066552476192,-0.000190892090169204,-0.000535599053326478,0.000822308287997977,0.0007443793582904,0.00119633046365514,0.000591729111754612,0.000540195804784652,0.000229404198516593,0.00146654000121579,-0.000246401283139816,0.00101155999624954,-0.000107177829815599,0.000169605403393475,-0.000273823709543371,-3.37598582114602e-05,8.71197637492409e-05,-0.000214530631458978,-0.000375226224102881,3.5889993453746e-05,1.61250313043468e-05,-4.89800586280266e-05,-0.000191995532284624,4.87614199341659e-05,-0.000102400248358524,-0.000204343691527067,8.63298356774421e-05,1.30579021994486e-05
Beagiascus pulcherrimus,Mississippian,Serpukhovian,-0.0690636420094557,-0.000428769004414308,0.0110480288384205,0.0141940225338907,0.00431403961095225,-0.04254014276425,-0.0104408290214167,0.04028338122427,0.0401071722820725,0.0107542774573818,-0.000199568845697666,0.010329388196709,-0.0361699981300158,-0.00151192908401982,0.0100510176578529,-0.0137758825840185,0.00163930940740179,-0.00789818381439473,0.00370582769824561,-0.0112371023562693,0.0106255041716341,-0.0233310186584725,0.00451276006927235,-0.00625647198879291,-0.0187986790112367,-0.00542640916504855,-0.00415278957227548,-0.00320991003518718,0.0038695857119305,-0.00916010718907679,0.0032170422418319,-0.00190802141613949,0.00478833501568834,0.000566073441030552,0.0140502054198936,-0.00644332332559186,-0.00581086897033978,-0.0104875522620316,0.000449918413976063,-0.00772712775620777,0.00465202237585081,0.00347156232990523,0.00049692907179698,-0.000262648421905235,0.000203009410209462,0.00652081184792272,0.00123829828986627,-0.00562408087017824,0.00218636754405414,-0.000377007878209963,-0.00418798832951675,-0.00209448059828102,-0.000427226939381761,0.000821839683382798,0.000909906689124331,0.0031803787852773,-0.00175572419451717,-0.00159849923004445,0.00386267773845655,0.000759909296718033,-0.00129016081872068,0.00149016292843104,-0.0012701867354567,0.000245102032408256,-0.00172362282666001,0.00017910422397621,-0.00172424546109934,0.00136779852141017,0.00026514255612702,-0.00205410017840147,0.00102664528443806,0.000658111986914806,0.00124714207131498,0.000324147195844866,0.000800545006794775,-0.000861799940745944,0.00071018978634024,-0.000522433661854287,0.000547933038747891,-0.000450179550087445,-0.000267718813546734,-0.000580995440665922,0.000383349120102821
Benedenius deneensis,Mississippian,Viséan,0.0505908773448546,0.0874485889779896,0.0304558320714154,-0.0692174459441614,0.0521497031924261,0.0360674692206796,0.022202214557453,0.0193472578359088,0.0427146248317902,-0.00914408953072237,-0.00215659086563553,-0.0226925281908646,-0.0181733660237874,0.00894051033656481,0.00445217196749438,0.00210979919639001,0.00348149661797839,0.0301949156693223,-0.00775195993845733,-0.0240051846162106,-0.0076216051567616,0.00184687514908904,-0.00440878487912286,0.0117735556996771,0.0103960742387942,0.0141632302990926,-0.0109497801228458,-0.0151757977331946,0.00018091499535415,-0.00432287464649089,-0.00388933021703367,0.0123709894454541,0.00636062332230948,-0.00669902584906041,-0.00183208305330463,0.00402773424229422,-0.00280115522777559,0.0038171771190499,-0.00276826865850386,0.000627905027462483,-4.77002935317815e-05,-0.00667118972388163,0.00237282038550251,-0.00181515095295588,0.00355303913511856,0.00431177099209487,-0.00137044236134808,0.00201256244386113,0.000876594995200248,-0.00116438778339361,-0.000358346921308483,0.00016117493345573,-0.00157125580897288,0.00561831669023215,0.00241030621877741,0.00152712920486858,-0.00284082498067671,0.00371819928433148,0.00106553130056446,-0.00188949899118364,-0.00222339834366873,0.000342212656618045,0.00186646793023316,0.00078643199475331,-0.000334687122706114,-0.00103530289066326,-0.00149499888137362,-0.000643438143816657,0.00182701475656408,-0.000847904553803505,-0.00133186916846826,0.00104656394748649,-0.00127581364203382,0.000118795806842488,-0.000934372462937353,-0.000279619607481314,0.000393473607420429,0.000197221521596087,0.000985969817570066,0.000529345444871129,0.000683581026072817,0.000268293883508476,-0.00036362233379503
Benedenius soreili,Mississippian,Viséan,0.0801828603239427,0.11023300077815,-0.0425346309764801,-0.126642970784302,0.103364837312216,0.0211396363608463,0.0681347764726516,-0.019035404396079,-0.00530458073316017,-0.00765444622026326,-0.0174617093030919,0.0129148048253256,0.016920959572357,0.0177365866832249,0.030471656772524,0.00990457873052293,-0.0263491851097784,0.0153647661120889,-0.00916079005056407,0.00316598337000741,-0.00285317117443569,-0.00813117476373652,0.00285350852498848,-0.00273016939651501,-0.00812279625317457,0.00429045353913057,-0.00403943908921479,0.0050113037353044,0.0128671434752477,0.00711669111477525,0.00269709034152386,-0.00971075642734937,0.00307534841017549,0.00215170551968377,-0.00855722173713337,0.00412122453412566,-0.0015153418307976,-0.00466469454567082,-0.00312972743608033,-0.00211210222950295,0.00573498405539386,0.00232196129545308,0.00044057654706321,-0.00818694731431217,-0.0021333578748136,-0.00454406499144517,0.000537012711815623,-0.00355384082213555,0.0036919107580717,-0.00521786492743645,-0.00156297697976466,-0.00211126796196068,-2.25156420467909e-05,-0.00137052398263648,-0.00367464956744275,0.00277271785949161,-0.000475223474615886,-0.000405761402668397,-0.000448624157617552,0.0015218500432207,0.000310893018682416,-0.000736495742505438,0.00230657828608725,0.00207390486055025,0.00183068172627862,0.00140989583203667,0.000872443213916024,-9.36686668407552e-05,-0.000987490210304873,0.00116155619878166,0.000192225744065198,-0.000506352030278666,0.00057987578347975,0.000975466452215237,0.00121405533114888,0.000109493788075181,7.33577575191172e-05,0.000486867690470225,0.000866448779547342,0.00043002827032149,0.00028000395388335,0.000467987404168537,0.000237194046120455
Bourbonnella guilloti,Pennsylvanian,Kasimovian,-0.0116947901839639,-0.0336909778717456,-0.0278203731278375,-0.000297040707487732,0.00712355952558611,0.0689788596261314,0.0111559705277212,0.020089105228151,0.00475262857212485,0.00219942074009088,0.0100411400880766,0.0118494935015442,-0.00490529052612469,-0.00283080268442045,0.0140996550627785,0.0038300009394582,-0.0049932008725844,0.00614053877648952,-0.00957620134284785,-0.00286576373276577,-0.00761811751476126,0.00421597528861607,0.0130224212643141,0.00481243972501503,-0.00384187358088128,0.00253710098839589,-0.0128176327180479,-0.0131234431351592,-0.00467674961913841,0.000659289246882598,0.00581341266511651,0.00751464123794151,0.0076987535224321,0.00763395915625628,0.00302773202523535,-0.000983243898134866,-0.00242557951470591,-0.00142636703513372,0.00428401125319065,0.00555318525158203,-0.0012804833545689,0.00336463304022659,-0.000764257216212794,-0.0032611334993513,-0.00178814966528426,-0.000305928356085847,-0.000919709833838592,0.000180436971251688,0.0012027139366205,0.00356671917408601,-0.00077344548367792,0.00123989485148809,0.00318624364905349,0.00254876153101179,-0.00156119465493123,0.00101711579625874,-0.00123377029106561,-8.12638405580521e-05,-4.06795924624379e-05,0.000507406538486929,0.00217438107051857,-0.00384360211824315,-0.00181171105864748,0.00125896751009674,0.000945725118049482,-0.00187052399929584,0.00123363419249524,0.001045332390285,-0.000697195942824872,-0.000118413047912128,-0.000694261524800155,-0.00167939645273644,0.000499976213037434,-0.0013865481570029,0.0006978778095766,0.00159419804545517,0.00208693566565325,-0.00153986199038677,-0.0020770613753902,0.000840470998144125,-0.00149522626252859,-0.00036988958534481,-0.000706421273105186
